scientific_name,iucn_class,iucn_category,iucn_score,lastwatch_score,lastwatch_tier
Lepidomeda altivelis,ACTINOPTERYGII,EX,5,100.0,EX
Acalypha rubrinervis,MAGNOLIOPSIDA,EX,5,100.0,EX
Potorous platyops,MAMMALIA,EX,5,100.0,EX
Salvelinus agassizii,ACTINOPTERYGII,EX,5,100.0,EX
Leporillus apicalis,MAMMALIA,EX,5,100.0,EX
Achatinella abbreviata,GASTROPODA,EX,5,100.0,EX
Achatinella caesia,GASTROPODA,EX,5,100.0,EX
Achatinella thaanumi,GASTROPODA,EX,5,100.0,EX
Caloprymnus campestris,MAMMALIA,EX,5,100.0,EX
Lagorchestes leporides,MAMMALIA,EX,5,100.0,EX
Partula turgida,GASTROPODA,EX,5,100.0,EX
Leiocephalus herminieri,REPTILIA,EX,5,100.0,EX
Leiocephalus eremitus,REPTILIA,EX,5,100.0,EX
Dromaius baudinianus,AVES,EX,5,100.0,EX
Anas marecula,AVES,EX,5,100.0,EX
Alasmidonta mccordi,BIVALVIA,EX,5,100.0,EX
Incerticyclus martinicensis,GASTROPODA,EX,5,100.0,EX
Incerticyclus cinereus,GASTROPODA,EX,5,100.0,EX
Evarra bustamantei,ACTINOPTERYGII,EX,5,100.0,EX
Evarra eigenmanni,ACTINOPTERYGII,EX,5,100.0,EX
Melamprosops phaeosoma,AVES,EX,5,100.0,EX
Coryphomys buehleri,MAMMALIA,EX,5,100.0,EX
Salvelinus neocomensis,ACTINOPTERYGII,EX,5,100.0,EX
Achatinella decora,GASTROPODA,EX,5,100.0,EX
Evarra tlahuacensis,ACTINOPTERYGII,EX,5,100.0,EX
Characodon garmani,ACTINOPTERYGII,EX,5,100.0,EX
Podiceps andinus,AVES,EX,5,100.0,EX
Auriculella expansa,GASTROPODA,EX,5,100.0,EX
Dupontia proletaria,GASTROPODA,EX,5,100.0,EX
Mascarenotus murivorus,AVES,EX,5,100.0,EX
Achatinella valida,GASTROPODA,EX,5,100.0,EX
Cyclophorus horridulum,GASTROPODA,EX,5,100.0,EX
Auriculella uniplicata,GASTROPODA,EX,5,100.0,EX
Cyclosurus mariei,GASTROPODA,EX,5,100.0,EX
Elimia brevis,GASTROPODA,EX,5,100.0,EX
Elimia vanuxemiana,GASTROPODA,EX,5,100.0,EX
Elimia impressa,GASTROPODA,EX,5,100.0,EX
Amastra cornea,GASTROPODA,EX,5,100.0,EX
Amastra albolabris,GASTROPODA,EX,5,100.0,EX
Elimia fusiformis,GASTROPODA,EX,5,100.0,EX
Amastra crassilabrum,GASTROPODA,EX,5,100.0,EX
Elimia jonesi,GASTROPODA,EX,5,100.0,EX
Leptoxis lirata,GASTROPODA,EX,5,100.0,EX
Elimia hartmaniana,GASTROPODA,EX,5,100.0,EX
Leptoxis formosa,GASTROPODA,EX,5,100.0,EX
Hygrotus artus,INSECTA,EX,5,100.0,EX
Elimia clausa,GASTROPODA,EX,5,100.0,EX
Achatinella dimorpha,GASTROPODA,EX,5,100.0,EX
Leptoxis clipeata,GASTROPODA,EX,5,100.0,EX
Plagiodontia ipnaeum,MAMMALIA,EX,5,100.0,EX
Amastra forbesi,GASTROPODA,EX,5,100.0,EX
Amastra elongata,GASTROPODA,EX,5,100.0,EX
Amphicyclotulus guadeloupensis,GASTROPODA,EX,5,100.0,EX
Gyrotoma excisa,GASTROPODA,EX,5,100.0,EX
Hirasea planulata,GASTROPODA,EX,5,100.0,EX
Littoridina gaudichaudii,GASTROPODA,EX,5,100.0,EX
Leptoxis ligata,GASTROPODA,EX,5,100.0,EX
Gyrotoma lewisii,GASTROPODA,EX,5,100.0,EX
Gyrotoma pagoda,GASTROPODA,EX,5,100.0,EX
Gyrotoma pumila,GASTROPODA,EX,5,100.0,EX
Leptoxis occultata,GASTROPODA,EX,5,100.0,EX
Alectroenas nitidissimus,AVES,EX,5,100.0,EX
Tristramella magdelainae,ACTINOPTERYGII,EX,5,100.0,EX
Achatinella lehuiensis,GASTROPODA,EX,5,100.0,EX
Amastra reticulata,GASTROPODA,EX,5,100.0,EX
Amastra pellucida,GASTROPODA,EX,5,100.0,EX
Amastra subsoror,GASTROPODA,EX,5,100.0,EX
Clappia cahabensis,GASTROPODA,EX,5,100.0,EX
Achatinella buddii,GASTROPODA,EX,5,100.0,EX
Elimia laeta,GASTROPODA,EX,5,100.0,EX
Elimia pupaeformis,GASTROPODA,EX,5,100.0,EX
Cottus echinatus,ACTINOPTERYGII,EX,5,100.0,EX
Coregonus alpenae,ACTINOPTERYGII,EX,5,100.0,EX
Gyrotoma pyramidata,GASTROPODA,EX,5,100.0,EX
Achatinella livida,GASTROPODA,EX,5,100.0,EX
Fundulus albolineatus,ACTINOPTERYGII,EX,5,100.0,EX
Leptoxis torrefacta,GASTROPODA,EX,5,100.0,EX
Porphyrio mantelli,AVES,EX,5,100.0,EX
Amastra tenuispira,GASTROPODA,EX,5,100.0,EX
Elimia pilsbryi,GASTROPODA,EX,5,100.0,EX
Elimia pygmaea,GASTROPODA,EX,5,100.0,EX
Harmogenanina linophora,GASTROPODA,EX,5,100.0,EX
Harmogenanina subdetecta,GASTROPODA,EX,5,100.0,EX
Chilonopsis exulatus,GASTROPODA,EX,5,100.0,EX
Epioblasma haysiana,BIVALVIA,EX,5,100.0,EX
Nestor productus,AVES,EX,5,100.0,EX
Nesiota elliptica,MAGNOLIOPSIDA,EX,5,100.0,EX
Amastra porcus,GASTROPODA,EX,5,100.0,EX
Amphigyra alabamensis,GASTROPODA,EX,5,100.0,EX
Alloperla roberti,INSECTA,EX,5,100.0,EX
Amastra subrostrata,GASTROPODA,EX,5,100.0,EX
Acanthametropus pecatonica,INSECTA,EX,5,100.0,EX
Amastra umbilicata,GASTROPODA,EX,5,100.0,EX
Carelia sinclairi,GASTROPODA,EX,5,100.0,EX
Epioblasma flexuosa,BIVALVIA,EX,5,100.0,EX
Gyrotoma walkeri,GASTROPODA,EX,5,100.0,EX
Gastrocopta ogasawarana,GASTROPODA,EX,5,100.0,EX
Gastrocopta chichijimana,GASTROPODA,EX,5,100.0,EX
Achatinella elegans,GASTROPODA,EX,5,100.0,EX
Chilonopsis subtruncatus,GASTROPODA,EX,5,100.0,EX
Leptoxis foremanii,GASTROPODA,EX,5,100.0,EX
Podilymbus gigas,AVES,EX,5,100.0,EX
Mautodontha saintjohni,GASTROPODA,EX,5,100.0,EX
Macrotis leucura,MAMMALIA,EX,5,100.0,EX
Abutilon pitcairnense,MAGNOLIOPSIDA,EW,5,100.0,EX
Camellia amplexicaulis,MAGNOLIOPSIDA,EW,5,100.0,EX
Franklinia alatamaha,MAGNOLIOPSIDA,EW,5,100.0,EX
Brugmansia insignis,MAGNOLIOPSIDA,EW,5,100.0,EX
Brugmansia vulcanicola,MAGNOLIOPSIDA,EW,5,100.0,EX
Cyprinodon veronicae,ACTINOPTERYGII,EW,5,100.0,EX
Nectophrynoides asperginis,AMPHIBIA,EW,5,100.0,EX
Brighamia insignis,MAGNOLIOPSIDA,EW,5,100.0,EX
Partula taeniata simulans,GASTROPODA,CR,4,100.0,EX
Notropis amecae,ACTINOPTERYGII,EW,5,100.0,EX
Encephalartos woodii,CYCADOPSIDA,EW,5,100.0,EX
Furcraea macdougallii,LILIOPSIDA,EW,5,100.0,EX
Allotoca goslinei,ACTINOPTERYGII,EW,5,100.0,EX
Cyanea pinnatifida,MAGNOLIOPSIDA,EW,5,100.0,EX
Skiffia francesae,ACTINOPTERYGII,EW,5,100.0,EX
Cryptoblepharus egeriae,REPTILIA,EW,5,100.0,EX
Clianthus puniceus,MAGNOLIOPSIDA,EW,5,100.0,EX
Brugmansia arborea,MAGNOLIOPSIDA,EW,5,100.0,EX
Leptogryllus deceptor,INSECTA,EW,5,100.0,EX
Lysimachia minoricensis,MAGNOLIOPSIDA,EW,5,100.0,EX
Trochetiopsis erythroxylon,MAGNOLIOPSIDA,EW,5,100.0,EX
Brugmansia aurea,MAGNOLIOPSIDA,EW,5,100.0,EX
Corvus hawaiiensis,AVES,EW,5,100.0,EX
Amomum sumatranum,LILIOPSIDA,EW,5,100.0,EX
Dendroseris gigantea,MAGNOLIOPSIDA,EW,5,100.0,EX
Senecio leucopeplus,MAGNOLIOPSIDA,EW,5,100.0,EX
Zenaida graysoni,AVES,EW,5,100.0,EX
Cyanopsitta spixii,AVES,EW,5,100.0,EX
Aylacostoma chloroticum,GASTROPODA,EW,5,100.0,EX
Aylacostoma stigmaticum,GASTROPODA,EW,5,100.0,EX
Partula rosea,GASTROPODA,EW,5,100.0,EX
Partula taeniata elongata,GASTROPODA,CR,4,100.0,EX
Euphorbia mayurnathanii,MAGNOLIOPSIDA,EW,5,100.0,EX
Cyanea superba subsp. superba,MAGNOLIOPSIDA,EW,5,100.0,EX
Aylacostoma guaraniticum,GASTROPODA,EW,5,100.0,EX
Cyrtandra waiolani,MAGNOLIOPSIDA,EW,5,100.0,EX
Rhododendron kanehirae,MAGNOLIOPSIDA,EW,5,100.0,EX
Cyanea superba,MAGNOLIOPSIDA,EW,5,100.0,EX
Alphonsea hortensis,MAGNOLIOPSIDA,EW,5,100.0,EX
Encephalartos brevifoliolatus,CYCADOPSIDA,EW,5,100.0,EX
Encephalartos heenanii,CYCADOPSIDA,EW,5,100.0,EX
Encephalartos nubimontanus,CYCADOPSIDA,EW,5,100.0,EX
Encephalartos relictus,CYCADOPSIDA,EW,5,100.0,EX
Cyprinodon alvarezi,ACTINOPTERYGII,EW,5,100.0,EX
Cyprinodon longidorsalis,ACTINOPTERYGII,EW,5,100.0,EX
Brugmansia versicolor,MAGNOLIOPSIDA,EW,5,100.0,EX
Partula hebe,GASTROPODA,EW,5,100.0,EX
Arachis rigonii,MAGNOLIOPSIDA,EW,5,100.0,EX
Aloe silicicola,LILIOPSIDA,EW,5,100.0,EX
Scardinius racovitzai,ACTINOPTERYGII,EW,5,100.0,EX
Partula varia,GASTROPODA,EW,5,100.0,EX
Ochrosia brownii,MAGNOLIOPSIDA,EW,5,100.0,EX
Bromus bromoideus,LILIOPSIDA,EW,5,100.0,EX
Brugmansia sanguinea,MAGNOLIOPSIDA,EW,5,100.0,EX
Lepidodactylus listeri,REPTILIA,EW,5,100.0,EX
Partula nodosa,GASTROPODA,EW,5,100.0,EX
Partula mirabilis,GASTROPODA,EW,5,100.0,EX
Partula dentifera,GASTROPODA,EX,5,100.0,EX
Partula suturalis,GASTROPODA,EW,5,100.0,EX
Partula mooreana,GASTROPODA,EW,5,100.0,EX
Kokia cookei,MAGNOLIOPSIDA,EW,5,100.0,EX
