scientific_name,taxon,iucn_class,iucn_category,iucn_score,gen,is_single
Macadamia tetraphylla,무척추/식물/기타,MAGNOLIOPSIDA,EN,3,100.0,True
Cycloderma frenatum,파충류,REPTILIA,EN,3,17.5,False
Juniperus gracilior,무척추/식물/기타,PINOPSIDA,EN,3,30.0,True
Phalacrocorax featherstoni,조류,AVES,EN,3,8.7,True
Parodia scopa,무척추/식물/기타,MAGNOLIOPSIDA,VU,2,10.0,True
Conolophus pallidus,파충류,REPTILIA,VU,2,17.5,True
Procellaria aequinoctialis,조류,AVES,VU,2,24.7,True
Procellaria conspicillata,조류,AVES,VU,2,25.9,True
Haplochromis welcommei,어류,ACTINOPTERYGII,VU,2,1.0,True
Cobitis calderoni,어류,ACTINOPTERYGII,VU,2,3.0,True
Kinosternon sonoriense,파충류,REPTILIA,VU,2,12.0,True
Sabanejewia romanica,어류,ACTINOPTERYGII,VU,2,3.0,True
Acacia howittii,무척추/식물/기타,MAGNOLIOPSIDA,VU,2,25.0,False
Graptemys flavimaculata,파충류,REPTILIA,VU,2,20.0,True
Eunicella verrucosa,무척추/식물/기타,ANTHOZOA,NT,1,30.0,True
Cupressus sargentii,무척추/식물/기타,PINOPSIDA,VU,2,30.0,True
Tyto aurantia,조류,AVES,VU,2,5.0,True
Hippocampus trimaculatus,어류,ACTINOPTERYGII,EN,3,4.25,False
Pseudochondrostoma polylepis,어류,ACTINOPTERYGII,VU,2,3.0,True
Chlamydotis undulata,조류,AVES,VU,2,6.5,True
Haplochromis thereuterion,어류,ACTINOPTERYGII,VU,2,1.0,True
Abies hidalgensis,무척추/식물/기타,PINOPSIDA,VU,2,40.0,True
Telespiza cantans,조류,AVES,VU,2,4.9,True
Procellaria parkinsoni,조류,AVES,VU,2,34.0,True
Cirrhinus microlepis,어류,ACTINOPTERYGII,VU,2,3.5,False
Seriatopora hystrix,무척추/식물/기타,ANTHOZOA,VU,2,10.0,True
Disocactus phyllanthoides,무척추/식물/기타,MAGNOLIOPSIDA,VU,2,10.0,True
Geothlypis beldingi,조류,AVES,VU,2,2.5,True
Accipiter butleri,조류,AVES,VU,2,5.46,True
Pilgerodendron uviferum,무척추/식물/기타,PINOPSIDA,VU,2,75.0,True
Mila caespitosa,무척추/식물/기타,MAGNOLIOPSIDA,VU,2,15.0,True
Accipiter luteoschistaceus,조류,AVES,VU,2,5.0,True
Pinus greggii,무척추/식물/기타,PINOPSIDA,VU,2,30.0,True
Accipiter henstii,조류,AVES,VU,2,7.9,True
Accipiter brachyurus,조류,AVES,VU,2,4.48,True
Pterospermum reticulatum,무척추/식물/기타,MAGNOLIOPSIDA,LC,0,25.0,True
Pterocarya fraxinifolia,무척추/식물/기타,MAGNOLIOPSIDA,VU,2,25.0,False
Accipiter princeps,조류,AVES,VU,2,5.25,True
Psittrichas fulgidus,조류,AVES,VU,2,9.0,True
Pseudotaxus chienii,무척추/식물/기타,PINOPSIDA,VU,2,30.0,True
Carcharhinus amblyrhynchoides,어류,CHONDRICHTHYES,VU,2,11.0,True
Pomatorhinus montanus,조류,AVES,VU,2,3.03,True
Dipterocarpus alatus,무척추/식물/기타,MAGNOLIOPSIDA,VU,2,100.0,True
Umbrina cirrosa,어류,ACTINOPTERYGII,VU,2,9.5,True
Scyliorhinus stellaris,어류,CHONDRICHTHYES,VU,2,16.0,True
Cupressus chengiana,무척추/식물/기타,PINOPSIDA,VU,2,12.5,False
Sternula nereis,조류,AVES,VU,2,11.0,True
Pangasius krempfi,어류,ACTINOPTERYGII,VU,2,7.0,True
Bagarius bagarius,어류,ACTINOPTERYGII,VU,2,10.0,True
Schizothorax argentatus,어류,ACTINOPTERYGII,VU,2,6.0,True
Cycas armstrongii,무척추/식물/기타,CYCADOPSIDA,VU,2,40.0,True
Schizothorax pseudoaksaiensis,어류,ACTINOPTERYGII,VU,2,8.0,True
Eucalyptus leucoxylon,무척추/식물/기타,MAGNOLIOPSIDA,VU,2,70.0,True
Tacinga braunii,무척추/식물/기타,MAGNOLIOPSIDA,VU,2,10.0,True
Drosera bulbigena,무척추/식물/기타,MAGNOLIOPSIDA,VU,2,3.0,True
Arrojadoa dinae,무척추/식물/기타,MAGNOLIOPSIDA,VU,2,10.0,True
Inga allenii,무척추/식물/기타,MAGNOLIOPSIDA,VU,2,30.0,True
