scientific_name,taxon,iucn_class,iucn_category,iucn_score,gen,is_single
Falsistrellus mackenziei,포유류,MAMMALIA,NT,1,7.0,True
Genetta johnstoni,포유류,MAMMALIA,NT,1,4.0,True
Genetta piscivora,포유류,MAMMALIA,NT,1,4.0,True
Hemigalus derbyanus,포유류,MAMMALIA,NT,1,5.0,True
Hemitragus jemlahicus,포유류,MAMMALIA,NT,1,7.0,True
Hipposideros commersoni,무척추/식물/기타,,NT,1,5.0,True
Hipposideros jonesi,포유류,MAMMALIA,NT,1,5.0,True
Hipposideros lekaguli,포유류,MAMMALIA,NT,1,5.0,True
Hipposideros pelingensis,포유류,MAMMALIA,NT,1,5.0,True
Histiotus laephotis,포유류,MAMMALIA,LC,0,3.0,True
Hyaena hyaena,포유류,MAMMALIA,NT,1,6.0,True
Hydrictis maculicollis,포유류,MAMMALIA,NT,1,7.5,True
Kerivoula intermedia,포유류,MAMMALIA,NT,1,5.0,True
Kerivoula minuta,포유류,MAMMALIA,NT,1,5.0,True
Kerivoula pellucida,포유류,MAMMALIA,NT,1,5.0,True
Kobus vardonii,포유류,MAMMALIA,NT,1,6.4,True
Lasiorhinus latifrons,포유류,MAMMALIA,LC,0,10.5,False
Lasiurus pfeifferi,포유류,MAMMALIA,NT,1,5.0,True
Leopardus colocolo,포유류,MAMMALIA,NT,1,7.0,True
Leopardus wiedii,포유류,MAMMALIA,NT,1,6.0,True
Leporillus conditor,포유류,MAMMALIA,NT,1,2.0,True
Leptonycteris yerbabuenae,포유류,MAMMALIA,NT,1,5.5,False
Litocranius walleri,포유류,MAMMALIA,NT,1,4.6,True
Lonchophylla hesperia,포유류,MAMMALIA,NT,1,6.0,True
Lontra longicaudis,포유류,MAMMALIA,NT,1,9.43,True
Lophostoma occidentalis,포유류,MAMMALIA,NT,1,5.6,True
Lycalopex sechurae,포유류,MAMMALIA,NT,1,3.0,True
Macaca assamensis,포유류,MAMMALIA,NT,1,11.0,False
Macaca thibetana,포유류,MAMMALIA,NT,1,11.0,False
Mastacomys fuscus,포유류,MAMMALIA,NT,1,1.5,False
Mesocricetus brandti,포유류,MAMMALIA,NT,1,1.25,False
Microtus quasiater,포유류,MAMMALIA,NT,1,1.0,True
Monodon monoceros,포유류,MAMMALIA,VU,2,30.0,True
Mops mops,포유류,MAMMALIA,NT,1,3.9,True
Mops petersoni,포유류,MAMMALIA,NT,1,5.0,True
Muntiacus atherodes,포유류,MAMMALIA,NT,1,5.0,True
Mustela altaica,포유류,MAMMALIA,NT,1,5.0,True
Mustela itatsi,포유류,MAMMALIA,NT,1,5.3,True
Myotis bechsteinii,포유류,MAMMALIA,VU,2,5.0,True
Myotis bombinus,포유류,MAMMALIA,NT,1,5.77,True
Myotis dasycneme,포유류,MAMMALIA,VU,2,5.0,True
Myotis ridleyi,포유류,MAMMALIA,NT,1,5.0,True
Myotis ruber,포유류,MAMMALIA,NT,1,5.8,True
Myotis sodalis,포유류,MAMMALIA,NT,1,6.0,True
Mysateles prehensilis,포유류,MAMMALIA,NT,1,10.0,True
Nasuella olivacea,포유류,MAMMALIA,NT,1,6.8,True
Natalus espiritosantensis,포유류,MAMMALIA,NT,1,5.0,True
Natalus major,포유류,MAMMALIA,NT,1,5.6,True
Neoromicia brunnea,무척추/식물/기타,,NT,1,5.2,True
Neotoma magister,포유류,MAMMALIA,NT,1,2.3,True
Niviventer culturatus,포유류,MAMMALIA,LC,0,1.7,True
Notomys cervinus,포유류,MAMMALIA,NT,1,1.5,True
Nyctalus aviator,포유류,MAMMALIA,NT,1,6.0,True
Nycteris tragata,포유류,MAMMALIA,NT,1,5.0,True
Nycticeius cubanus,포유류,MAMMALIA,NT,1,5.0,True
Ornithorhynchus anatinus,포유류,MAMMALIA,NT,1,10.5,False
Otocolobus manul,포유류,MAMMALIA,LC,0,3.61,True
Ozotoceros bezoarticus,포유류,MAMMALIA,NT,1,3.0,True
Panthera onca,포유류,MAMMALIA,NT,1,6.84,True
Pantholops hodgsonii,포유류,MAMMALIA,NT,1,6.1,True
Papio papio,포유류,MAMMALIA,NT,1,10.0,True
Parahyaena brunnea,포유류,MAMMALIA,NT,1,8.5,True
Paraxerus vexillarius,포유류,MAMMALIA,LC,0,3.5,False
Pardofelis marmorata,포유류,MAMMALIA,NT,1,5.0,True
Peromyscus polius,포유류,MAMMALIA,VU,2,1.74,True
Petaurista mishmiensis,포유류,MAMMALIA,NT,1,5.5,False
Petaurista nobilis,포유류,MAMMALIA,NT,1,7.5,False
Petrogale burbidgei,포유류,MAMMALIA,NT,1,5.0,True
Petrogale godmani,포유류,MAMMALIA,NT,1,5.0,True
Petrogale mareeba,포유류,MAMMALIA,NT,1,6.5,True
Petrogale purpureicollis,포유류,MAMMALIA,NT,1,5.0,True
Phascogale calura,포유류,MAMMALIA,NT,1,1.0,True
Phascogale tapoatafa,포유류,MAMMALIA,NT,1,1.0,True
Phoniscus atrox,포유류,MAMMALIA,NT,1,5.6,True
Platalina genovensium,포유류,MAMMALIA,NT,1,5.0,True
Platyrrhinus ismaeli,포유류,MAMMALIA,NT,1,5.0,True
Platyrrhinus matapalensis,포유류,MAMMALIA,NT,1,5.0,True
Potorous tridactylus,포유류,MAMMALIA,NT,1,3.5,False
Prionailurus rubiginosus,포유류,MAMMALIA,NT,1,4.0,True
Procapra picticaudata,포유류,MAMMALIA,NT,1,4.1,True
Pseudantechinus mimulus,포유류,MAMMALIA,NT,1,1.5,True
Pseudochirops albertisii,포유류,MAMMALIA,NT,1,3.3,True
Pseudochirops corinnae,포유류,MAMMALIA,NT,1,5.8,True
Pseudochirulus cinereus,포유류,MAMMALIA,NT,1,4.0,True
Pteropus pumilus,포유류,MAMMALIA,NT,1,8.1,True
Pteropus rayneri,포유류,MAMMALIA,NT,1,8.0,True
Pteropus samoensis,포유류,MAMMALIA,NT,1,8.1,True
Pudu puda,포유류,MAMMALIA,NT,1,13.5,False
Rattus xanthurus,포유류,MAMMALIA,LC,0,1.25,False
Ratufa bicolor,포유류,MAMMALIA,NT,1,6.3,True
Ratufa macroura,포유류,MAMMALIA,NT,1,7.5,False
Rheomys thomasi,포유류,MAMMALIA,VU,2,1.61,True
Rhinolophus deckenii,포유류,MAMMALIA,NT,1,7.5,True
Rhinolophus euryale,포유류,MAMMALIA,VU,2,9.0,True
Rhinolophus robinsoni,포유류,MAMMALIA,NT,1,8.0,True
Rhinolophus sedulus,포유류,MAMMALIA,NT,1,8.0,True
Rhinophylla alethina,포유류,MAMMALIA,NT,1,5.0,True
Rhyncholestes raphanurus,포유류,MAMMALIA,NT,1,2.74,True
Saguinus tripartitus,무척추/식물/기타,,NT,1,6.0,True
Saimiri ustus,포유류,MAMMALIA,NT,1,8.0,True
Sapajus nigritus,포유류,MAMMALIA,NT,1,16.0,True
Semnopithecus hector,포유류,MAMMALIA,NT,1,12.0,True
Sminthopsis bindi,포유류,MAMMALIA,NT,1,2.0,True
Speothos venaticus,포유류,MAMMALIA,NT,1,4.0,True
Spermophilus musicus,포유류,MAMMALIA,LC,0,3.0,True
Spermophilus xanthoprymnus,포유류,MAMMALIA,NT,1,2.9,True
Sus celebensis,포유류,MAMMALIA,NT,1,6.0,True
Sylvilagus obscurus,포유류,MAMMALIA,NT,1,2.66,True
Taphozous australis,포유류,MAMMALIA,NT,1,2.2,True
Tarsius syrichta,무척추/식물/기타,,NT,1,7.5,True
Thylamys macrurus,포유류,MAMMALIA,NT,1,2.0,True
Thylamys velutinus,포유류,MAMMALIA,NT,1,1.7,True
Tolypeutes matacus,포유류,MAMMALIA,NT,1,4.0,True
Tragelaphus imberbis,포유류,MAMMALIA,NT,1,4.3,True
Trogopterus xanthipes,포유류,MAMMALIA,NT,1,4.1,True
Urocyon littoralis,포유류,MAMMALIA,NT,1,4.0,True
Uromys hadrourus,포유류,MAMMALIA,NT,1,2.5,False
Volemys millicens,포유류,MAMMALIA,NT,1,1.6,True
Wyulda squamicaudata,포유류,MAMMALIA,NT,1,4.0,True
Zaedyus pichiy,포유류,MAMMALIA,NT,1,4.0,True
Abeomelomys sevia,포유류,MAMMALIA,LC,0,1.5,False
Abrawayaomys ruschii,포유류,MAMMALIA,LC,0,1.5,False
Abrocoma bennettii,포유류,MAMMALIA,LC,0,2.5,False
Abrothrix andinus,포유류,MAMMALIA,LC,0,1.5,False
Abrothrix jelskii,포유류,MAMMALIA,LC,0,1.5,False
Abrothrix lanosus,포유류,MAMMALIA,LC,0,1.5,False
Abrothrix longipilis,포유류,MAMMALIA,LC,0,1.5,False
Abrothrix olivaceus,포유류,MAMMALIA,LC,0,1.5,False
Acomys airensis,포유류,MAMMALIA,LC,0,1.5,False
Acomys cahirinus,포유류,MAMMALIA,LC,0,1.5,False
Acomys cineraceus,포유류,MAMMALIA,LC,0,1.5,False
Acomys dimidiatus,포유류,MAMMALIA,LC,0,1.5,False
Acomys ignitus,포유류,MAMMALIA,LC,0,1.5,False
Acomys johannis,포유류,MAMMALIA,LC,0,1.5,False
Acomys kempi,포유류,MAMMALIA,LC,0,1.5,False
Acomys louisae,포유류,MAMMALIA,LC,0,1.5,False
Acomys mullah,포유류,MAMMALIA,LC,0,1.5,False
Acomys percivali,포유류,MAMMALIA,LC,0,1.5,False
Acomys russatus,포유류,MAMMALIA,LC,0,1.5,False
Acomys seurati,포유류,MAMMALIA,LC,0,1.5,False
Acomys spinosissimus,포유류,MAMMALIA,LC,0,1.5,False
Acomys subspinosus,포유류,MAMMALIA,LC,0,1.5,False
Acomys wilsoni,포유류,MAMMALIA,LC,0,1.5,False
Aconaemys fuscus,포유류,MAMMALIA,LC,0,3.5,False
Aegialomys xanthaeolus,포유류,MAMMALIA,LC,0,1.5,False
Aepeomys lugens,포유류,MAMMALIA,LC,0,1.5,False
Aethomys bocagei,포유류,MAMMALIA,LC,0,1.5,False
Aethomys chrysophilus,포유류,MAMMALIA,LC,0,2.0,True
Aethomys granti,무척추/식물/기타,,LC,0,1.5,False
Aethomys hindei,포유류,MAMMALIA,LC,0,1.5,False
Aethomys ineptus,포유류,MAMMALIA,LC,0,1.5,False
Aethomys kaiseri,포유류,MAMMALIA,LC,0,1.5,False
Aethomys namaquensis,무척추/식물/기타,,LC,0,1.5,False
Aethomys nyikae,포유류,MAMMALIA,LC,0,1.5,False
Aethomys thomasi,포유류,MAMMALIA,LC,0,1.5,False
Akodon aerosus,포유류,MAMMALIA,LC,0,1.5,False
Akodon affinis,포유류,MAMMALIA,LC,0,1.5,False
Akodon albiventer,포유류,MAMMALIA,LC,0,1.5,False
Akodon azarae,포유류,MAMMALIA,LC,0,1.5,False
Akodon boliviensis,포유류,MAMMALIA,LC,0,1.5,False
Akodon budini,포유류,MAMMALIA,LC,0,1.5,False
Akodon cursor,포유류,MAMMALIA,LC,0,1.5,False
Akodon dayi,포유류,MAMMALIA,LC,0,1.5,False
Akodon dolores,포유류,MAMMALIA,LC,0,1.5,False
Akodon fumeus,포유류,MAMMALIA,LC,0,1.5,False
Akodon iniscatus,포유류,MAMMALIA,LC,0,1.5,False
Akodon juninensis,포유류,MAMMALIA,LC,0,1.5,False
Akodon kofordi,포유류,MAMMALIA,LC,0,1.5,False
Akodon lutescens,포유류,MAMMALIA,LC,0,1.5,False
Akodon mimus,포유류,MAMMALIA,LC,0,1.5,False
Akodon molinae,포유류,MAMMALIA,LC,0,1.5,False
Akodon mollis,포유류,MAMMALIA,LC,0,1.5,False
Akodon montensis,포유류,MAMMALIA,LC,0,1.5,False
Akodon orophilus,포유류,MAMMALIA,LC,0,1.5,False
Akodon paranaensis,포유류,MAMMALIA,LC,0,1.5,False
Akodon reigi,포유류,MAMMALIA,LC,0,1.5,False
Akodon serrensis,포유류,MAMMALIA,LC,0,1.5,False
Akodon simulator,포유류,MAMMALIA,LC,0,1.5,False
Akodon spegazzinii,포유류,MAMMALIA,LC,0,1.5,False
Akodon subfuscus,포유류,MAMMALIA,LC,0,1.5,False
Akodon sylvanus,포유류,MAMMALIA,LC,0,1.5,False
Akodon toba,포유류,MAMMALIA,LC,0,1.5,False
Akodon torques,포유류,MAMMALIA,LC,0,1.5,False
Alces alces,포유류,MAMMALIA,LC,0,8.635,False
Allactaga balikunica,포유류,MAMMALIA,LC,0,1.5,False
Allactaga bullata,포유류,MAMMALIA,LC,0,1.5,False
Allactaga hotsoni,포유류,MAMMALIA,LC,0,1.5,False
Allactaga major,포유류,MAMMALIA,NT,1,1.0,True
Allactaga severtzovi,포유류,MAMMALIA,LC,0,1.5,False
Allactaga sibirica,포유류,MAMMALIA,LC,0,1.5,False
Allactodipus bobrinskii,포유류,MAMMALIA,LC,0,2.0,True
Allocricetulus curtatus,포유류,MAMMALIA,LC,0,1.5,False
Alouatta caraya,포유류,MAMMALIA,NT,1,12.0,True
Alouatta macconnelli,포유류,MAMMALIA,LC,0,12.0,True
Alouatta sara,포유류,MAMMALIA,NT,1,11.0,True
Alticola argentatus,포유류,MAMMALIA,LC,0,1.5,False
Alticola barakshin,포유류,MAMMALIA,LC,0,1.5,False
Alticola lemminus,포유류,MAMMALIA,LC,0,1.5,False
Alticola macrotis,포유류,MAMMALIA,LC,0,1.5,False
Alticola semicanus,포유류,MAMMALIA,LC,0,1.5,False
Alticola stoliczkanus,포유류,MAMMALIA,LC,0,1.5,False
Alticola strelzowi,포유류,MAMMALIA,LC,0,1.5,False
Alticola tuvinicus,포유류,MAMMALIA,LC,0,1.5,False
Ammospermophilus harrisii,포유류,MAMMALIA,LC,0,2.5,False
Ammospermophilus interpres,포유류,MAMMALIA,LC,0,2.5,False
Ammospermophilus leucurus,포유류,MAMMALIA,LC,0,3.0,True
Anathana ellioti,포유류,MAMMALIA,LC,0,4.0,True
Andalgalomys olrogi,포유류,MAMMALIA,LC,0,1.5,False
Andalgalomys pearsoni,포유류,MAMMALIA,LC,0,1.5,False
Anisomys imitator,포유류,MAMMALIA,LC,0,1.5,False
Anomalurus beecrofti,포유류,MAMMALIA,LC,0,2.5,False
Anomalurus derbianus,포유류,MAMMALIA,LC,0,2.5,False
Anomalurus pusillus,포유류,MAMMALIA,LC,0,2.5,False
Anourosorex assamensis,포유류,MAMMALIA,LC,0,1.0,True
Anourosorex squamipes,포유류,MAMMALIA,LC,0,1.0,True
Anourosorex yamashinai,포유류,MAMMALIA,LC,0,1.0,True
Antechinomys laniger,포유류,MAMMALIA,LC,0,2.0,True
Antechinus flavipes,포유류,MAMMALIA,LC,0,1.0,True
Antidorcas marsupialis,포유류,MAMMALIA,LC,0,4.2,True
Aotus nigriceps,포유류,MAMMALIA,LC,0,4.5,False
Aplodontia rufa,포유류,MAMMALIA,LC,0,4.0,True
Apodemus alpicola,포유류,MAMMALIA,LC,0,1.0,True
Apodemus argenteus,포유류,MAMMALIA,LC,0,1.5,False
Apodemus chevrieri,포유류,MAMMALIA,LC,0,1.0,True
Apodemus draco,포유류,MAMMALIA,LC,0,1.0,True
Apodemus epimelas,포유류,MAMMALIA,LC,0,1.5,False
Apodemus latronum,포유류,MAMMALIA,LC,0,1.0,True
Apodemus pallipes,포유류,MAMMALIA,LC,0,1.0,True
Apodemus peninsulae,포유류,MAMMALIA,LC,0,1.0,True
Apodemus ponticus,포유류,MAMMALIA,LC,0,1.5,False
Apodemus rusiges,포유류,MAMMALIA,LC,0,1.5,False
Apodemus semotus,포유류,MAMMALIA,LC,0,1.5,False
Apodemus speciosus,포유류,MAMMALIA,LC,0,1.5,False
Apodemus witherbyi,포유류,MAMMALIA,LC,0,1.0,True
Apomys datae,포유류,MAMMALIA,LC,0,1.5,False
Apomys hylocetes,포유류,MAMMALIA,LC,0,2.0,True
Apomys insignis,포유류,MAMMALIA,LC,0,1.5,False
Apomys microdon,포유류,MAMMALIA,LC,0,1.5,False
Apomys musculus,포유류,MAMMALIA,LC,0,1.5,False
Arborimus albipes,포유류,MAMMALIA,LC,0,1.61,True
Arctocebus calabarensis,포유류,MAMMALIA,NT,1,4.6,True
Arctocephalus australis,포유류,MAMMALIA,LC,0,11.7,True
Arctocephalus forsteri,포유류,MAMMALIA,LC,0,9.9,True
Arctocephalus pusillus,포유류,MAMMALIA,LC,0,9.1,True
Arctocephalus tropicalis,포유류,MAMMALIA,LC,0,10.7,True
Arctogalidia trivirgata,포유류,MAMMALIA,LC,0,5.0,True
Arctonyx albogularis,포유류,MAMMALIA,LC,0,5.0,True
Arctonyx hoevenii,포유류,MAMMALIA,LC,0,5.0,True
Arvicanthis abyssinicus,포유류,MAMMALIA,LC,0,2.0,True
Arvicanthis ansorgei,포유류,MAMMALIA,LC,0,1.5,False
Arvicanthis nairobae,포유류,MAMMALIA,LC,0,2.0,True
Arvicanthis neumanni,포유류,MAMMALIA,LC,0,2.0,True
Arvicanthis rufinus,포유류,MAMMALIA,LC,0,2.0,True
Arvicola amphibius,포유류,MAMMALIA,LC,0,1.5,False
Asellia patrizii,포유류,MAMMALIA,LC,0,5.0,True
Asellia tridens,포유류,MAMMALIA,LC,0,5.0,True
Aselliscus stoliczkanus,포유류,MAMMALIA,LC,0,5.0,True
Aselliscus tricuspidatus,포유류,MAMMALIA,LC,0,5.0,True
Atelerix albiventris,포유류,MAMMALIA,LC,0,3.5,False
Atelerix algirus,포유류,MAMMALIA,LC,0,3.5,False
Atelerix frontalis,포유류,MAMMALIA,LC,0,3.5,False
Atelerix sclateri,포유류,MAMMALIA,LC,0,3.5,False
Atherurus africanus,포유류,MAMMALIA,LC,0,15.0,True
Atherurus macrourus,포유류,MAMMALIA,LC,0,7.0,True
Atilax paludinosus,포유류,MAMMALIA,LC,0,4.0,True
Auliscomys boliviensis,포유류,MAMMALIA,LC,0,1.5,False
Auliscomys pictus,포유류,MAMMALIA,LC,0,1.5,False
Auliscomys sublimis,포유류,MAMMALIA,LC,0,1.5,False
Axis axis,포유류,MAMMALIA,LC,0,10.0,True
Baiomys musculus,포유류,MAMMALIA,LC,0,1.5,False
Baiyankamys shawmayeri,포유류,MAMMALIA,LC,0,1.5,False
Balaena mysticetus,포유류,MAMMALIA,VU,2,52.0,True
Balaenoptera acutorostrata,포유류,MAMMALIA,LC,0,13.0,True
Bandicota bengalensis,포유류,MAMMALIA,LC,0,1.5,False
Bandicota indica,포유류,MAMMALIA,LC,0,1.5,False
Bandicota savilei,포유류,MAMMALIA,LC,0,1.5,False
Barbastella leucomelas,포유류,MAMMALIA,LC,0,5.0,True
Bassaricyon alleni,포유류,MAMMALIA,LC,0,8.2,True
Bassaricyon gabbii,포유류,MAMMALIA,LC,0,8.4,True
Bassaricyon medius,포유류,MAMMALIA,LC,0,5.2,True
Bassariscus astutus,포유류,MAMMALIA,LC,0,5.7,True
Bathyergus janetta,포유류,MAMMALIA,LC,0,2.0,True
Bathyergus suillus,포유류,MAMMALIA,LC,0,2.0,True
Batomys salomonseni,포유류,MAMMALIA,LC,0,4.5,False
Bdeogale crassicauda,포유류,MAMMALIA,LC,0,3.0,True
Bdeogale nigripes,포유류,MAMMALIA,LC,0,3.0,True
Beamys hindei,포유류,MAMMALIA,LC,0,1.5,False
Berylmys berdmorei,포유류,MAMMALIA,LC,0,1.5,False
Bibimys chacoensis,포유류,MAMMALIA,LC,0,1.5,False
Bibimys labiosus,포유류,MAMMALIA,LC,0,1.5,False
Blarina brevicauda,포유류,MAMMALIA,LC,0,0.5,False
Blarina carolinensis,포유류,MAMMALIA,LC,0,0.5,False
Blarina hylophaga,포유류,MAMMALIA,LC,0,1.0,True
Blarinella griselda,포유류,MAMMALIA,LC,0,1.0,True
Blarinella wardi,포유류,MAMMALIA,LC,0,1.0,True
Blarinomys breviceps,포유류,MAMMALIA,LC,0,1.5,False
Boselaphus tragocamelus,포유류,MAMMALIA,LC,0,5.7,True
Brachiones przewalskii,포유류,MAMMALIA,LC,0,1.5,False
Brachytarsomys albicauda,포유류,MAMMALIA,LC,0,2.5,False
Brachyuromys betsileoensis,포유류,MAMMALIA,LC,0,1.5,False
Brachyuromys ramirohitra,포유류,MAMMALIA,LC,0,1.5,False
Bradypus variegatus,포유류,MAMMALIA,LC,0,6.0,True
Brucepattersonius iheringi,포유류,MAMMALIA,LC,0,1.5,False
Bullimus bagobus,포유류,MAMMALIA,LC,0,1.5,False
Bullimus luzonicus,포유류,MAMMALIA,LC,0,1.5,False
Bunomys andrewsi,포유류,MAMMALIA,LC,0,1.5,False
Bunomys chrysocomus,포유류,MAMMALIA,LC,0,1.5,False
Callicebus brunneus,무척추/식물/기타,,VU,2,8.8,True
Callicebus regulus,무척추/식물/기타,,LC,0,8.0,True
Callithrix jacchus,포유류,MAMMALIA,LC,0,6.0,True
Callithrix penicillata,포유류,MAMMALIA,LC,0,6.0,True
Callosciurus baluensis,포유류,MAMMALIA,LC,0,4.0,True
Callosciurus caniceps,포유류,MAMMALIA,LC,0,4.0,True
Callosciurus erythraeus,포유류,MAMMALIA,LC,0,4.0,True
Callosciurus finlaysonii,포유류,MAMMALIA,LC,0,4.0,True
Callosciurus inornatus,포유류,MAMMALIA,LC,0,4.0,True
Callosciurus notatus,포유류,MAMMALIA,LC,0,4.0,True
Callosciurus orestes,포유류,MAMMALIA,LC,0,4.0,True
Callosciurus phayrei,포유류,MAMMALIA,LC,0,4.0,True
Callosciurus prevostii,포유류,MAMMALIA,LC,0,4.0,True
Callosciurus pygerythrus,포유류,MAMMALIA,LC,0,4.0,True
Callospermophilus lateralis,포유류,MAMMALIA,LC,0,4.0,True
Callospermophilus saturatus,포유류,MAMMALIA,LC,0,2.5,False
Calomys boliviae,포유류,MAMMALIA,LC,0,1.5,False
Calomys callidus,포유류,MAMMALIA,LC,0,1.5,False
Calomys callosus,포유류,MAMMALIA,LC,0,1.5,False
Calomys expulsus,포유류,MAMMALIA,LC,0,1.5,False
Calomys fecundus,포유류,MAMMALIA,LC,0,1.5,False
Calomys hummelincki,포유류,MAMMALIA,LC,0,1.5,False
Calomys laucha,포유류,MAMMALIA,LC,0,1.5,False
Calomys lepidus,포유류,MAMMALIA,LC,0,1.5,False
Calomys musculinus,포유류,MAMMALIA,LC,0,1.5,False
Calomys sorellus,포유류,MAMMALIA,LC,0,1.5,False
Calomys tener,포유류,MAMMALIA,LC,0,1.5,False
Calomys tocantinsi,포유류,MAMMALIA,LC,0,1.5,False
Calomys venustus,포유류,MAMMALIA,LC,0,1.5,False
Calomyscus bailwardi,포유류,MAMMALIA,LC,0,2.0,True
Calomyscus baluchi,포유류,MAMMALIA,LC,0,2.0,True
Calomyscus elburzensis,포유류,MAMMALIA,LC,0,3.0,True
Calomyscus hotsoni,포유류,MAMMALIA,LC,0,2.0,True
Calomyscus mystax,포유류,MAMMALIA,LC,0,1.5,False
Calomyscus urartensis,포유류,MAMMALIA,LC,0,2.5,False
Canis aureus,포유류,MAMMALIA,LC,0,4.5,False
Canis latrans,포유류,MAMMALIA,LC,0,4.0,True
Cannomys badius,포유류,MAMMALIA,LC,0,3.0,True
Cansumys canus,포유류,MAMMALIA,LC,0,1.5,False
Capra sibirica,포유류,MAMMALIA,NT,1,7.0,True
Capromys pilorides,포유류,MAMMALIA,LC,0,4.5,False
Caracal caracal,포유류,MAMMALIA,LC,0,6.1,True
Cardioderma cor,포유류,MAMMALIA,LC,0,5.4,True
Carpomys phaeurus,포유류,MAMMALIA,LC,0,2.0,True
Caryomys eva,포유류,MAMMALIA,LC,0,1.5,False
Caryomys inez,포유류,MAMMALIA,LC,0,1.5,False
Castor fiber,포유류,MAMMALIA,LC,0,9.0,True
Cavia fulgida,포유류,MAMMALIA,LC,0,2.0,True
Cavia magna,포유류,MAMMALIA,LC,0,2.0,True
Cavia tschudii,포유류,MAMMALIA,LC,0,1.5,False
Cebus brunneus,포유류,MAMMALIA,EN,3,16.0,True
Cephalophus callipygus,포유류,MAMMALIA,LC,0,5.2,True
Cephalophus harveyi,포유류,MAMMALIA,LC,0,4.6,True
Cephalophus natalensis,포유류,MAMMALIA,LC,0,4.1,True
Cephalophus niger,포유류,MAMMALIA,LC,0,4.6,True
Cephalophus rufilatus,포유류,MAMMALIA,LC,0,4.6,True
Cephalophus weynsi,포유류,MAMMALIA,LC,0,4.6,True
Cercocebus agilis,포유류,MAMMALIA,LC,0,10.0,True
Cercopithecus campbelli,포유류,MAMMALIA,NT,1,12.0,True
Cercopithecus denti,포유류,MAMMALIA,LC,0,11.0,True
Cercopithecus mona,포유류,MAMMALIA,NT,1,11.0,True
Cercopithecus petaurista,포유류,MAMMALIA,NT,1,11.0,True
Cerradomys maracajuensis,포유류,MAMMALIA,LC,0,1.5,False
Cerradomys scotti,포유류,MAMMALIA,LC,0,1.5,False
Cerradomys subflavus,포유류,MAMMALIA,LC,0,1.5,False
Chaetodipus arenarius,포유류,MAMMALIA,LC,0,2.5,False
Chaetodipus artus,포유류,MAMMALIA,LC,0,2.5,False
Chaetodipus baileyi,포유류,MAMMALIA,LC,0,2.5,False
Chaetodipus californicus,포유류,MAMMALIA,LC,0,2.5,False
Chaetodipus eremicus,포유류,MAMMALIA,LC,0,2.5,False
Chaetodipus fallax,포유류,MAMMALIA,LC,0,0.5,False
Chaetodipus formosus,포유류,MAMMALIA,LC,0,2.5,False
Chaetodipus hispidus,포유류,MAMMALIA,LC,0,2.5,False
Chaetodipus intermedius,포유류,MAMMALIA,LC,0,2.5,False
Chaetodipus penicillatus,포유류,MAMMALIA,LC,0,2.5,False
Chaetodipus pernix,포유류,MAMMALIA,LC,0,2.5,False
Chaetodipus rudinoris,포유류,MAMMALIA,LC,0,2.5,False
Chaetodipus spinatus,포유류,MAMMALIA,LC,0,2.5,False
Chaetophractus vellerosus,포유류,MAMMALIA,LC,0,3.2,True
Chaetophractus villosus,포유류,MAMMALIA,LC,0,4.0,True
Chelemys macronyx,포유류,MAMMALIA,LC,0,1.5,False
Chilomys instans,포유류,MAMMALIA,LC,0,1.5,False
Chimarrogale himalayica,포유류,MAMMALIA,LC,0,1.0,True
Chimarrogale platycephalus,포유류,MAMMALIA,LC,0,2.0,True
Chimarrogale styani,포유류,MAMMALIA,LC,0,1.0,True
Chinchillula sahamae,포유류,MAMMALIA,LC,0,2.0,True
Chionomys gud,포유류,MAMMALIA,LC,0,1.5,False
Chionomys roberti,포유류,MAMMALIA,LC,0,1.5,False
Chiromyscus chiropus,포유류,MAMMALIA,LC,0,1.5,False
Chiropodomys gliroides,포유류,MAMMALIA,LC,0,1.0,True
Chiruromys forbesi,포유류,MAMMALIA,LC,0,1.5,False
Chiruromys lamia,포유류,MAMMALIA,LC,0,1.5,False
Chiruromys vates,포유류,MAMMALIA,LC,0,1.5,False
Chlorocebus sabaeus,포유류,MAMMALIA,LC,0,12.0,True
Chodsigoa hypsibia,포유류,MAMMALIA,LC,0,1.0,True
Chodsigoa lamula,포유류,MAMMALIA,LC,0,1.0,True
Chodsigoa parca,포유류,MAMMALIA,LC,0,1.0,True
Chrotomys silaceus,포유류,MAMMALIA,LC,0,2.0,True
Chrotomys whiteheadi,포유류,MAMMALIA,LC,0,1.5,False
Cistugo lesueuri,포유류,MAMMALIA,LC,0,5.62,True
Cistugo seabrae,포유류,MAMMALIA,LC,0,5.62,True
Civettictis civetta,포유류,MAMMALIA,LC,0,6.0,True
Cloeotis percivali,포유류,MAMMALIA,LC,0,5.02,True
Coendou bicolor,포유류,MAMMALIA,LC,0,8.0,True
Coendou insidiosus,포유류,MAMMALIA,LC,0,8.0,True
Coendou mexicanus,포유류,MAMMALIA,LC,0,8.0,True
Coendou rufescens,포유류,MAMMALIA,LC,0,8.0,True
Coleura afra,포유류,MAMMALIA,LC,0,2.16,True
Colomys goslingi,포유류,MAMMALIA,LC,0,1.5,False
Condylura cristata,포유류,MAMMALIA,LC,0,1.5,False
Congosorex verheyeni,포유류,MAMMALIA,LC,0,1.0,True
Connochaetes taurinus,포유류,MAMMALIA,LC,0,7.5,True
