scientific_name,iucn_class,iucn_category,raw,consensus_score,gen,log_gen,taxon,iucn_rli,is_extinct
Mexipedium xerophyticum,LILIOPSIDA,CR,7-8,90.0,7.5,0.8750612633917001,무척추/식물/기타,4,False
Diceros bicornis,MAMMALIA,CR,14.96,10.4,14.96,1.1749315935284426,포유류,4,False
Calyptura cristata,AVES,CR,2.19,90.0,2.19,0.34044411484011833,조류,4,False
Nepenthes aristolochioides,MAGNOLIOPSIDA,CR,3-5,84.4,4.0,0.6020599913279624,무척추/식물/기타,4,False
Potorous gilbertii,MAMMALIA,CR,3-4,90.0,3.5,0.5440680443502757,포유류,4,False
Necrosyrtes monachus,AVES,CR,13,40.3,13.0,1.1139433523068367,조류,4,False
Bostrychia bocagei,AVES,CR,7.1,51.0,7.1,0.8512583487190752,조류,4,False
Pseudoryx nghetinhensis,MAMMALIA,CR,5-10,77.6,7.5,0.8750612633917001,포유류,4,False
Crocodylus siamensis,REPTILIA,CR,25,51.1,25.0,1.3979400086720377,파충류,4,False
Eubalaena glacialis,MAMMALIA,CR,35.7,90.0,35.7,1.5526682161121932,포유류,4,False
Alligator sinensis,REPTILIA,CR,25,78.0,25.0,1.3979400086720377,파충류,4,False
Crocodylus rhombifer,REPTILIA,CR,25,50.4,25.0,1.3979400086720377,파충류,4,False
Turbinicarpus gielsdorfianus,MAGNOLIOPSIDA,CR,5,44.7,5.0,0.6989700043360189,무척추/식물/기타,4,False
Heteromirafra archeri,AVES,CR,3.24,78.9,3.24,0.5105450102066121,조류,4,False
Dendrolagus scottae,MAMMALIA,CR,3650,70.0,3650.0,3.5622928644564746,포유류,4,False
Addax nasomaculatus,MAMMALIA,CR,7.6,84.2,7.6,0.8808135922807914,포유류,4,False
Panthera tigris amoyensis,MAMMALIA,EN,7-10,49.8,8.5,0.9294189257142927,포유류,3,False
Bos javanicus,MAMMALIA,CR,7,50.2,7.0,0.8450980400142568,포유류,4,False
Terenura sicki,AVES,CR,2.34,78.6,2.34,0.3692158574101428,조류,4,False
Abies yuanbaoshanensis,PINOPSIDA,CR,25-30,67.1,27.5,1.4393326938302626,무척추/식물/기타,4,False
Pithecophaga jefferyi,AVES,CR,18.99,66.8,18.99,1.2785249647370176,조류,4,False
Spheniscus demersus,AVES,CR,10,40.6,10.0,1.0,조류,4,False
Dendrolagus pulcherrimus,MAMMALIA,CR,10,30.5,10.0,1.0,포유류,4,False
Panthera tigris sumatrae,MAMMALIA,EN,7-10,50.4,8.5,0.9294189257142927,포유류,3,False
Pipile pipile,AVES,CR,8.5,70.0,8.5,0.9294189257142927,조류,4,False
Aegotheles savesi,AVES,CR,3.48,90.0,3.48,0.541579243946581,조류,4,False
Lepilemur septentrionalis,MAMMALIA,CR,7,90.0,7.0,0.8450980400142568,포유류,4,False
Gymnogyps californianus,AVES,CR,18.57,78.0,18.57,1.2688119037397805,조류,4,False
Gyps indicus,AVES,CR,12.03,40.2,12.03,1.0802656273398448,조류,4,False
Batagur trivittata,REPTILIA,CR,25,93.4,25.0,1.3979400086720377,파충류,4,False
Batagur kachuga,REPTILIA,CR,25,67.2,25.0,1.3979400086720377,파충류,4,False
Hadramphus tuberculatus,INSECTA,CR,1,70.0,1.0,0.0,무척추/식물/기타,4,False
Gorilla beringei,MAMMALIA,CR,20,50.4,20.0,1.3010299956639813,포유류,4,False
Dipodomys gravipes,MAMMALIA,CR,2.26,90.0,2.26,0.35410843914740087,포유류,4,False
Cyclura pinguis,REPTILIA,CR,22,60.0,22.0,1.3424226808222062,파충류,4,False
Gopherus flavomarginatus,REPTILIA,CR,40-60,50.6,50.0,1.6989700043360187,파충류,4,False
Anas laysanensis,AVES,CR,6.5,20.0,6.5,0.8129133566428556,조류,4,False
Xenicus gilviventris,AVES,EN,2.66,44.9,2.66,0.424881636631067,조류,3,False
Amentotaxus formosana,PINOPSIDA,EN,25,67.5,25.0,1.3979400086720377,무척추/식물/기타,3,False
Micranthocereus polyanthus,MAGNOLIOPSIDA,EN,10,50.7,10.0,1.0,무척추/식물/기타,3,False
Anthemis glaberrima,MAGNOLIOPSIDA,EN,1,40.2,1.0,0.0,무척추/식물/기타,3,False
Obregonia denegrii,MAGNOLIOPSIDA,EN,10,44.9,10.0,1.0,무척추/식물/기타,3,False
Abies ziyuanensis,PINOPSIDA,EN,30-35,51.6,32.5,1.5118833609788744,무척추/식물/기타,3,False
Oreophasis derbianus,AVES,EN,9.55,51.1,9.55,0.9800033715837464,조류,3,False
Accipiter gundlachi,AVES,EN,6.02,51.5,6.02,0.7795964912578245,조류,3,False
Puya raimondii,LILIOPSIDA,EN,80,40.2,80.0,1.9030899869919435,무척추/식물/기타,3,False
Echinocactus grusonii,MAGNOLIOPSIDA,EN,10,40.4,10.0,1.0,무척추/식물/기타,3,False
Dioon purpusii,CYCADOPSIDA,EN,500,50.5,500.0,2.6989700043360187,무척추/식물/기타,3,False
Garrulax rufifrons,AVES,EN,3.9,50.3,3.9,0.5910646070264992,조류,3,False
Cuon alpinus,MAMMALIA,EN,5,50.6,5.0,0.6989700043360189,포유류,3,False
