scientific_name,iucn_class,taxon,iucn_category,iucn_rli,consensus_score,lw5,intervention_tier,diff,is_extinct,pop_source,iucn_trend,ews,pva,iucn_layer,primary_driver,confidence
Nepenthes aristolochioides,MAGNOLIOPSIDA,무척추/식물/기타,CR,4,84.4,4.220000000000001,T4,0.22000000000000064,False,iucn_population_size,Decreasing,88.07970779778823,76.16666666666667,95,IUCN/유전 임계값,0.6
Tylomys bullaris,MAMMALIA,포유류,CR,4,90.0,4.5,T4,0.5,False,iucn_population_size,Decreasing,88.07970779778823,87.28333333333333,95,IUCN/유전 임계값,0.6
Turbinicarpus alonsoi,MAGNOLIOPSIDA,무척추/식물/기타,CR,4,44.6,2.23,T2,-1.77,False,iucn_population_size,Decreasing,88.07970779778823,41.13666666666666,30,EWS 신호,0.6
Potorous gilbertii,MAMMALIA,포유류,CR,4,90.0,4.5,T4,0.5,False,iucn_population_size,Decreasing,88.07970779778823,77.81333333333333,95,IUCN/유전 임계값,0.6
Turbinicarpus hoferi,MAGNOLIOPSIDA,무척추/식물/기타,CR,4,51.7,2.585,T2,-1.415,False,iucn_population_size,Decreasing,88.07970779778823,45.946666666666665,55,EWS 신호,0.6
Necrosyrtes monachus,AVES,조류,CR,4,40.3,2.0149999999999997,T2,-1.9850000000000003,False,iucn_population_size,Decreasing,88.07970779778823,41.15,10,EWS 신호,0.6
Mammillaria schwarzii,MAGNOLIOPSIDA,무척추/식물/기타,CR,4,51.2,2.56,T2,-1.44,False,iucn_population_size,Decreasing,88.07970779778823,44.48,55,EWS 신호,0.6
Equus africanus,MAMMALIA,포유류,CR,4,81.4,4.07,T4,0.07000000000000028,False,iucn_population_size,Decreasing,88.07970779778823,69.49000000000001,95,IUCN/유전 임계값,0.6
Bostrychia bocagei,AVES,조류,CR,4,51.0,2.55,T2,-1.4500000000000002,False,iucn_population_size,Decreasing,88.07970779778823,44.126666666666665,55,EWS 신호,0.6
Pseudoryx nghetinhensis,MAMMALIA,포유류,CR,4,77.6,3.88,T3,-0.1200000000000001,False,iucn_population_size,Decreasing,88.07970779778823,60.85333333333334,95,IUCN/유전 임계값,0.6
Crocodylus siamensis,REPTILIA,파충류,CR,4,51.1,2.555,T2,-1.4449999999999998,False,iucn_population_size,Decreasing,88.07970779778823,44.403333333333336,55,EWS 신호,0.6
Eubalaena glacialis,MAMMALIA,포유류,CR,4,90.0,4.5,T4,0.5,False,iucn_population_size,Decreasing,88.07970779778823,85.19,95,IUCN/유전 임계값,0.6
Mammillaria anniana,MAGNOLIOPSIDA,무척추/식물/기타,CR,4,67.1,3.3549999999999995,T3,-0.6450000000000005,False,iucn_population_size,Decreasing,88.07970779778823,46.0,80,EWS 신호,0.6
Opuntia chaffeyi,MAGNOLIOPSIDA,무척추/식물/기타,CR,4,92.5,4.625,T4,0.625,False,iucn_population_size,Decreasing,88.07970779778823,94.0,95,IUCN/유전 임계값,0.6
Alligator sinensis,REPTILIA,파충류,CR,4,78.0,3.9,T3,-0.10000000000000009,False,iucn_population_size,Stable,50.0,33.50333333333333,95,IUCN/유전 임계값,0.6
