scientific_name,class_name,mass_effective,mass_source,log_mass_g,iucn_category,iucn_score,measured_population,population_source
Sarothrura ayresi,조류,31.8,AVONET,1.5024271199844328,CR,4,149.0,iucn_population_size
Anthochaera phrygia,조류,40.0,AVONET,1.6020599913279623,CR,4,375.0,iucn_population_size
Otus insularis,조류,144.0,AVONET,2.1583624920952498,CR,4,240.0,iucn_population_size
Vanellus gregarius,조류,224.5,AVONET,2.351216345339342,CR,4,11.0,iucn_population_size
Cyornis banyumas,조류,14.5,AVONET,1.1613680022349748,CR,4,550.0,iucn_population_size
Didunculus strigirostris,조류,400.0,AVONET,2.6020599913279625,CR,4,100.0,iucn_population_size
Pharotis imogene,포유류,10.0,PHYLACINE(backfill),1.0,CR,4,45.0,iucn_population_size
Pteropus aruensis,포유류,743.2,PHYLACINE(backfill),2.8711057009855856,CR,4,25.0,iucn_population_size
Plecotus teneriffae,포유류,8.0,PHYLACINE(backfill),0.9030899869919435,CR,4,1250.0,iucn_population_size
Uromys porculus,포유류,420.8,PHYLACINE(backfill),2.6240757311456826,CR,4,3.0,iucn_population_size
Phalanger matanim,포유류,1550.0,PHYLACINE(backfill),3.1903316981702914,CR,4,40.0,iucn_population_size
Murina tenebrosa,포유류,3.7,PHYLACINE(backfill),0.568201724066995,CR,4,1.0,iucn_population_size
Diceros bicornis,포유류,1180510.9,PHYLACINE(backfill),6.072070001400344,CR,4,3142.0,iucn_population_size
Uromys imperator,포유류,1000.0,PHYLACINE(backfill),3.0,CR,4,3.0,iucn_population_size
Calyptura cristata,조류,7.8,AVONET,0.8920946026904804,CR,4,25.0,iucn_population_size
Tylomys bullaris,포유류,280.0,PHYLACINE(backfill),2.4471580313422194,CR,4,30.0,iucn_population_size
Potorous gilbertii,포유류,962.5,PHYLACINE(backfill),2.983400738180538,CR,4,49.0,iucn_population_size
Necrosyrtes monachus,조류,2043.0,AVONET,3.3102683666324477,CR,4,131000.0,iucn_population_size
Equus africanus,포유류,275000.0,PHYLACINE(backfill),5.439332693830263,CR,4,111.0,iucn_population_size
Bostrychia bocagei,조류,866.0,AVONET,2.937517892017347,CR,4,915.0,iucn_population_size
Pseudoryx nghetinhensis,포유류,85000.0,PHYLACINE(backfill),4.929418925714293,CR,4,175.0,iucn_population_size
Eubalaena glacialis,포유류,23000000.0,PHYLACINE(backfill),7.361727836017593,CR,4,34.0,iucn_population_size
Axis kuhlii,포유류,55000.0,PHYLACINE(backfill),4.740362689494244,CR,4,350.0,iucn_population_size
Heteromirafra archeri,조류,30.0,AVONET,1.4771212547196624,CR,4,149.0,iucn_population_size
Dendrolagus scottae,포유류,10375.0,PHYLACINE(backfill),4.01598810538413,CR,4,200.0,iucn_population_size
Addax nasomaculatus,포유류,70000.3,PHYLACINE(backfill),4.8450999012723335,CR,4,60.0,iucn_population_size
Panthera tigris amoyensis,포유류,162564.0,PHYLACINE(backfill),5.211024376852319,EN,3,3140.0,iucn_population_size
Bos javanicus,포유류,700000.0,PHYLACINE(backfill),5.845098040014257,CR,4,3300.0,iucn_population_size
Terenura sicki,조류,6.4,AVONET,0.8061799739838872,CR,4,149.0,iucn_population_size
Pithecophaga jefferyi,조류,5175.3,AVONET,3.713935529890935,CR,4,526.0,iucn_population_size
Spheniscus demersus,조류,3130.1,AVONET,3.495558212547868,CR,4,19800.0,iucn_population_size
Dendrolagus pulcherrimus,포유류,6536.8,PHYLACINE(backfill),3.815365197490756,CR,4,500.0,iucn_population_size
Panthera tigris sumatrae,포유류,162564.0,PHYLACINE(backfill),5.211024376852319,EN,3,3140.0,iucn_population_size
Pipile pipile,조류,1816.6,AVONET,3.2592593098523635,CR,4,240.0,iucn_population_size
Aegotheles savesi,조류,52.0,AVONET,1.7160033436347992,CR,4,25.0,iucn_population_size
Lepilemur septentrionalis,포유류,750.0,PHYLACINE(backfill),2.8750612633917,CR,4,40.0,iucn_population_size
Gymnogyps californianus,조류,8442.7,AVONET,3.926481357476542,CR,4,93.0,iucn_population_size
Gyps indicus,조류,5515.0,AVONET,3.7415455167762093,CR,4,10000.0,iucn_population_size
Gorilla beringei,포유류,130000.0,PHYLACINE(backfill),5.113943352306837,CR,4,2600.0,iucn_population_size
Dipodomys gravipes,포유류,84.0,PHYLACINE(backfill),1.9242792860618816,CR,4,26.0,iucn_population_size
Anas laysanensis,조류,843.4,AVONET,2.9260335966788444,CR,4,590.0,iucn_population_size
Xenicus gilviventris,조류,17.6,AVONET,1.24551266781415,EN,3,5000.0,iucn_population_size
Oreophasis derbianus,조류,2071.5,AVONET,3.3162849376343124,EN,3,1150.0,iucn_population_size
Accipiter gundlachi,조류,675.0,AVONET,2.829303772831025,EN,3,750.0,iucn_population_size
Garrulax rufifrons,조류,101.5,AVONET,2.0064660422492318,EN,3,1500.0,iucn_population_size
Cuon alpinus,포유류,12760.0,PHYLACINE(backfill),4.1058506743851435,EN,3,1582.0,iucn_population_size
Rhyticeros everetti,조류,697.2,AVONET,2.8433573784379558,EN,3,1500.0,iucn_population_size
Procellaria westlandica,조류,1199.0,AVONET,3.0788191830988487,EN,3,10800.0,iucn_population_size
Aratinga solstitialis,조류,119.6,AVONET,2.077731179652392,EN,3,1749.0,iucn_population_size
Pavo muticus,조류,2205.7,AVONET,3.3435464431882562,EN,3,14999.0,iucn_population_size
Diomedea amsterdamensis,조류,6270.0,AVONET,3.7972675408307164,EN,3,92.0,iucn_population_size
Taphrolesbia griseiventris,조류,8.9,AVONET,0.9493900066449128,EN,3,624.0,iucn_population_size
Oxyura maccoa,조류,674.0,AVONET,2.82865989653532,EN,3,5250.0,iucn_population_size
Oxyura leucocephala,조류,661.1,AVONET,2.8202671571609645,VU,2,1300.0,iucn_population_size
Pterodroma cahow,조류,246.0,AVONET,2.3909351071033793,EN,3,196.0,iucn_population_size
Penelopides mindorensis,조류,462.0,AVONET,2.6646419755561257,EN,3,624.0,iucn_population_size
Copsychus sechellarum,조류,70.7,AVONET,1.8494194137968993,EN,3,190.0,iucn_population_size
Taoniscus nanus,조류,43.0,AVONET,1.6334684555795864,EN,3,6249.0,iucn_population_size
Amazona vinacea,조류,254.0,AVONET,2.404833716619938,EN,3,1749.0,iucn_population_size
Anas bernieri,조류,378.5,AVONET,2.5780658838360915,EN,3,1265.0,iucn_population_size
Phalacrocorax featherstoni,조류,1041.9,AVONET,3.017826038030425,EN,3,868.0,iucn_population_size
Procellaria aequinoctialis,조류,1213.0,AVONET,3.083860800866573,VU,2,3000000.0,iucn_population_size
Procellaria conspicillata,조류,1213.0,AVONET,3.083860800866573,VU,2,20000.0,iucn_population_size
Tyto aurantia,조류,540.0,AVONET,2.7323937598229686,VU,2,6249.0,iucn_population_size
Telespiza cantans,조류,33.3,AVONET,1.5224442335063197,VU,2,4250.0,iucn_population_size
Procellaria parkinsoni,조류,702.2,AVONET,2.8464608251293324,VU,2,5500.0,iucn_population_size
Geothlypis beldingi,조류,15.7,AVONET,1.1958996524092338,VU,2,1160.0,iucn_population_size
Accipiter butleri,조류,122.0,AVONET,2.0863598306747484,VU,2,1500.0,iucn_population_size
Accipiter luteoschistaceus,조류,214.0,AVONET,2.330413773349191,VU,2,1749.0,iucn_population_size
Accipiter henstii,조류,1050.0,AVONET,3.0211892990699383,VU,2,749.0,iucn_population_size
Accipiter brachyurus,조류,142.0,AVONET,2.1522883443830563,VU,2,6249.0,iucn_population_size
Accipiter princeps,조류,214.8,AVONET,2.332034277027518,VU,2,6249.0,iucn_population_size
Psittrichas fulgidus,조류,865.0,AVONET,2.9370161074648142,VU,2,34999.0,iucn_population_size
Sternula nereis,조류,72.3,AVONET,1.8591382972945307,VU,2,6249.0,iucn_population_size
Ursus thibetanus ussuricus,포유류,77500.0,PHYLACINE(backfill),4.889301702506311,VU,2,86.0,mature_individuals
Naemorhedus caudatus,포유류,27000.0,PHYLACINE(backfill),4.431363764158987,VU,2,800.0,mature_individuals
Lutra lutra,포유류,8785.1,PHYLACINE(backfill),3.94374670939432,NT,1,4000.0,mature_individuals
Nipponia nippon,조류,1900.0,AVONET,3.278753600952829,EN,3,600.0,mature_individuals
Ciconia boyciana,조류,4847.7,AVONET,3.685535735668144,EN,3,1500.0,mature_individuals
Panthera tigris altaica,포유류,250000.0,PHYLACINE,5.3979400086720375,EN,3,562.0,mature_individuals
Canis lupus coreanus,포유류,32183.3,PHYLACINE(backfill),4.507630573582486,LC,0,172500.0,iucn_population_size
Cervus nippon hortulorum,포유류,53000.0,PHYLACINE(backfill),4.724275869600789,LC,0,,iucn_population_size
Cercopithecus dryas,포유류,3075.0,PHYLACINE,3.4878451201114355,EN,3,175.0,iucn_population_size
Oreonax flavicauda,포유류,6800.0,PHYLACINE,3.832508912706236,CR,4,5500.0,iucn_population_size
Zyzomys palatalis,포유류,123.0,PHYLACINE,2.089905111439398,CR,4,1000.0,iucn_population_size
Lepilemur wrightae,포유류,950.0,PHYLACINE,2.9777236052888476,EN,3,2000.0,iucn_population_size
Bison bonasus,포유류,500000.0,PHYLACINE,5.698970004336019,NT,1,2664.0,iucn_population_size
Capra aegagrus,포유류,33500.0,PHYLACINE,4.525044807036846,NT,1,70000.0,iucn_population_size
Isoodon auratus,포유류,425.0,PHYLACINE,2.6283889300503116,LC,0,37500.0,iucn_population_size
Lagorchestes hirsutus,포유류,1265.0,PHYLACINE,3.1020905255118367,NT,1,6000.0,iucn_population_size
Leopardus guigna,포유류,2230.0,PHYLACINE,3.3483048630481607,LC,0,63838.0,iucn_population_size
Notomys fuscus,포유류,35.0,PHYLACINE,1.5440680443502757,NT,1,12000.0,iucn_population_size
Syconycteris carolinae,포유류,39.0,PHYLACINE,1.591064607026499,NT,1,10500.0,iucn_population_size
Antilope cervicapra,포유류,37500.0,PHYLACINE,4.574031267727719,LC,0,35000.0,iucn_population_size
Bettongia gaimardi,포유류,1660.0,PHYLACINE,3.220108088040055,NT,1,35000.0,iucn_population_size
Bettongia lesueur,포유류,1500.0,PHYLACINE,3.1760912590556813,NT,1,13500.0,iucn_population_size
Bison bison,포유류,579255.3,PHYLACINE,5.762870016135253,NT,1,12185.0,iucn_population_size
Capra cylindricornis,포유류,50000.0,PHYLACINE,4.698970004336019,NT,1,23000.0,iucn_population_size
Capra falconeri,포유류,41000.0,PHYLACINE,4.6127838567197355,NT,1,5754.0,iucn_population_size
Chrysocyon brachyurus,포유류,23249.8,PHYLACINE,4.366419221343393,NT,1,17000.0,iucn_population_size
Dasyurus geoffroii,포유류,1100.0,PHYLACINE,3.041392685158225,NT,1,6000.0,iucn_population_size
Dasyurus maculatus,포유류,5500.0,PHYLACINE,3.7403626894942437,NT,1,14000.0,iucn_population_size
Dendrolagus lumholtzi,포유류,6750.0,PHYLACINE,3.829303772831025,NT,1,20000.0,iucn_population_size
Eudorcas thomsonii,포유류,20499.8,PHYLACINE,4.31174962401575,LC,0,145000.0,iucn_population_size
Genetta piscivora,포유류,3000.0,PHYLACINE,3.4771212547196626,NT,1,10000.0,iucn_population_size
Hyaena hyaena,포유류,41705.1,PHYLACINE,4.620189166878436,NT,1,7499.0,iucn_population_size
Lasiorhinus latifrons,포유류,25500.0,PHYLACINE,4.4065401804339555,LC,0,400000.0,iucn_population_size
Leporillus conditor,포유류,350.0,PHYLACINE,2.5440680443502757,NT,1,3200.0,iucn_population_size
Mastacomys fuscus,포유류,122.0,PHYLACINE,2.0863598306747484,NT,1,60000.0,iucn_population_size
Monodon monoceros,포유류,900000.0,PHYLACINE,5.954242509439325,VU,2,4640.0,iucn_population_size
Notomys cervinus,포유류,35.0,PHYLACINE,1.5440680443502757,NT,1,4500.0,iucn_population_size
Ornithorhynchus anatinus,포유류,1484.3,PHYLACINE,3.1715216874504466,NT,1,50000.0,iucn_population_size
Otocolobus manul,포유류,3500.0,PHYLACINE,3.5440680443502757,LC,0,58000.0,iucn_population_size
Ozotoceros bezoarticus,포유류,40000.0,PHYLACINE,4.6020599913279625,NT,1,50000.0,iucn_population_size
Pantholops hodgsonii,포유류,27500.0,PHYLACINE,4.439332693830263,NT,1,125000.0,iucn_population_size
Parahyaena brunnea,포유류,32200.3,PHYLACINE,4.507859917898863,NT,1,7238.0,iucn_population_size
Petrogale godmani,포유류,4750.0,PHYLACINE,3.6766936096248664,NT,1,10000.0,iucn_population_size
Petrogale mareeba,포유류,4150.0,PHYLACINE,3.6180480967120925,NT,1,10000.0,iucn_population_size
Petrogale purpureicollis,포유류,4500.0,PHYLACINE,3.6532125137753435,NT,1,10000.0,iucn_population_size
Phascogale calura,포유류,51.5,PHYLACINE,1.711807229041191,NT,1,12500.0,iucn_population_size
Phascogale tapoatafa,포유류,193.5,PHYLACINE,2.28668096935493,NT,1,15000.0,iucn_population_size
Potorous tridactylus,포유류,1100.0,PHYLACINE,3.041392685158225,NT,1,75000.0,iucn_population_size
Procapra picticaudata,포유류,20000.0,PHYLACINE,4.301029995663981,NT,1,100000.0,iucn_population_size
Pseudantechinus mimulus,포유류,17.0,PHYLACINE,1.2304489213782739,NT,1,20000.0,iucn_population_size
Pseudochirulus cinereus,포유류,1000.0,PHYLACINE,3.0,NT,1,30000.0,iucn_population_size
Sminthopsis bindi,포유류,16.0,PHYLACINE,1.2041199826559248,NT,1,15000.0,iucn_population_size
Sminthopsis douglasi,포유류,55.0,PHYLACINE,1.7403626894942439,NT,1,20000.0,iucn_population_size
Taphozous australis,포유류,22.9,PHYLACINE,1.359835482339888,NT,1,9500.0,iucn_population_size
Tragelaphus imberbis,포유류,81575.5,PHYLACINE,4.911559744385447,NT,1,90000.0,iucn_population_size
Urocyon littoralis,포유류,1896.0,PHYLACINE,3.2778383330020473,NT,1,4001.0,iucn_population_size
Uromys hadrourus,포유류,194.0,PHYLACINE,2.287801729930226,NT,1,20000.0,iucn_population_size
Wyulda squamicaudata,포유류,1675.0,PHYLACINE,3.224014811372864,NT,1,7500.0,iucn_population_size
Antechinomys laniger,포유류,25.0,PHYLACINE,1.3979400086720377,LC,0,60000.0,iucn_population_size
Antidorcas marsupialis,포유류,31500.0,PHYLACINE,4.498310553789601,LC,0,1575000.0,iucn_population_size
Arctocephalus australis,포유류,45000.0,PHYLACINE,4.653212513775344,LC,0,109500.0,iucn_population_size
Arctocephalus forsteri,포유류,101250.0,PHYLACINE,5.005395031886706,LC,0,100000.0,iucn_population_size
Arctocephalus philippii,포유류,95000.0,PHYLACINE,4.977723605288848,LC,0,142000.0,iucn_population_size
Arctocephalus pusillus,포유류,178500.0,PHYLACINE,5.251638220448212,LC,0,1060000.0,iucn_population_size
Arctocephalus townsendi,포유류,105000.0,PHYLACINE,5.021189299069938,LC,0,10000.0,iucn_population_size
Arctocephalus tropicalis,포유류,84000.0,PHYLACINE,4.924279286061882,LC,0,200000.0,iucn_population_size
Balaena mysticetus,포유류,100000000.0,PHYLACINE,8.0,VU,2,258.0,iucn_population_size
Boselaphus tragocamelus,포유류,169000.0,PHYLACINE,5.227886704613674,LC,0,85000.0,iucn_population_size
Capra ibex,포유류,85166.5,PHYLACINE,4.930268799858884,LC,0,53000.0,iucn_population_size
Capra sibirica,포유류,130000.0,PHYLACINE,5.113943352306837,NT,1,126000.0,iucn_population_size
Capreolus capreolus,포유류,22500.0,PHYLACINE,4.352182518111363,LC,0,15000000.0,iucn_population_size
Castor fiber,포유류,19000.0,PHYLACINE,4.278753600952829,LC,0,1479863.0,iucn_population_size
Connochaetes gnou,포유류,179999.0,PHYLACINE,5.255270092349482,LC,0,11158.0,iucn_population_size
Ctenomys peruanus,포유류,490.0,PHYLACINE,2.690196080028514,CR,4,25.0,iucn_population_size
Equus kiang,포유류,250000.0,PHYLACINE,5.3979400086720375,LC,0,65000.0,iucn_population_size
Gazella bennettii,포유류,18916.7,PHYLACINE,4.276845376421444,LC,0,60000.0,iucn_population_size
Gulo gulo,포유류,17012.6,PHYLACINE,4.230770691000255,LC,0,1950.0,iucn_population_size
Halichoerus grypus,포유류,157667.0,PHYLACINE,5.1977408041873305,LC,0,313000.0,iucn_population_size
Herpailurus yagouaroundi,포유류,7874.9,PHYLACINE,3.896245047576059,NT,1,13360.0,iucn_population_size
Hippotragus equinus,포유류,269997.7,PHYLACINE,5.431360064597643,LC,0,55000.0,iucn_population_size
Histriophoca fasciata,포유류,90000.0,PHYLACINE,4.954242509439325,LC,0,183000.0,iucn_population_size
Hydrurga leptonyx,포유류,360000.0,PHYLACINE,5.556302500767287,LC,0,52000.0,iucn_population_size
Isoodon obesulus,포유류,775.0,PHYLACINE,2.88930170250631,LC,0,55000.0,iucn_population_size
Lama guanicoe,포유류,120000.0,PHYLACINE,5.079181246047625,LC,0,1000000.0,iucn_population_size
Leptonychotes weddellii,포유류,400000.0,PHYLACINE,5.6020599913279625,LC,0,202000.0,iucn_population_size
Lobodon carcinophaga,포유류,233250.0,PHYLACINE,5.367821652418537,LC,0,4000000.0,iucn_population_size
Lycalopex vetulus,포유류,5350.0,PHYLACINE,3.7283537820212285,NT,1,14520.0,iucn_population_size
Marmota olympus,포유류,6300.0,PHYLACINE,3.7993405494535817,LC,0,3000.0,iucn_population_size
Microtus tatricus,포유류,40.0,PHYLACINE,1.6020599913279623,LC,0,225000.0,iucn_population_size
Mirounga angustirostris,포유류,750000.0,PHYLACINE,5.8750612633917,LC,0,110000.0,iucn_population_size
Mustela eversmanii,포유류,1350.0,PHYLACINE,3.130333768495006,EN,3,2250.0,iucn_population_size
Myzopoda schliemanni,포유류,9.1,PHYLACINE,0.9590413923210935,LC,0,98041.0,iucn_population_size
Notoryctes caurinus,포유류,34.0,PHYLACINE,1.5314789170422551,LC,0,30000.0,iucn_population_size
Notoryctes typhlops,포유류,55.0,PHYLACINE,1.7403626894942439,LC,0,55000.0,iucn_population_size
Ommatophoca rossii,포유류,250000.0,PHYLACINE,5.3979400086720375,LC,0,50000.0,iucn_population_size
Oreamnos americanus,포유류,72500.3,PHYLACINE,4.86033980364789,LC,0,55000.0,iucn_population_size
Otaria byronia,포유류,140000.0,PHYLACINE,5.146128035678238,LC,0,222500.0,iucn_population_size
Ovis canadensis,포유류,74644.9,PHYLACINE,4.873000140560429,LC,0,49000.0,iucn_population_size
Ovis dalli,포유류,55650.6,PHYLACINE,4.745469851065775,LC,0,66600.0,iucn_population_size
Petrogale brachyotis,포유류,4050.0,PHYLACINE,3.6074550232146687,LC,0,20000.0,iucn_population_size
Phoca largha,포유류,150000.0,PHYLACINE,5.176091259055681,LC,0,320000.0,iucn_population_size
Plecotus kolombatovici,포유류,7.0,PHYLACINE,0.8450980400142568,LC,0,9000.0,iucn_population_size
Procapra gutturosa,포유류,27750.0,PHYLACINE,4.443262987458695,LC,0,1000000.0,iucn_population_size
Pronolagus rupestris,포유류,1754.0,PHYLACINE,3.244029589030022,LC,0,10000.0,iucn_population_size
Pronolagus saundersiae,포유류,1620.0,PHYLACINE,3.2095150145426308,LC,0,10000.0,iucn_population_size
Pseudantechinus bilarni,포유류,27.5,PHYLACINE,1.4393326938302626,NT,1,20000.0,iucn_population_size
Pseudochirops archeri,포유류,1091.5,PHYLACINE,3.038023740045158,NT,1,100000.0,iucn_population_size
Pusa sibirica,포유류,90000.0,PHYLACINE,4.954242509439325,LC,0,54000.0,iucn_population_size
Rupicapra pyrenaica,포유류,30000.0,PHYLACINE,4.477121254719663,LC,0,50000.0,iucn_population_size
Rupicapra rupicapra,포유류,26100.0,PHYLACINE,4.416640507338281,LC,0,440000.0,iucn_population_size
Sminthopsis dolichura,포유류,13.6,PHYLACINE,1.1335389083702174,LC,0,15000.0,iucn_population_size
Sminthopsis leucopus,포유류,26.0,PHYLACINE,1.414973347970818,LC,0,9000.0,iucn_population_size
