scientific_name,iucn_class,taxon_group,iucn_category,iucn_score
Panthera pardus delacouri,MAMMALIA,포유류,VU,2
Equus africanus,MAMMALIA,포유류,CR,4
Bostrychia bocagei,AVES,조류,CR,4
Pseudoryx nghetinhensis,MAMMALIA,포유류,CR,4
Crocodylus siamensis,REPTILIA,파충류,CR,4
Eubalaena glacialis,MAMMALIA,포유류,CR,4
Huso huso,ACTINOPTERYGII,어류,CR,4
Propithecus coronatus,MAMMALIA,포유류,CR,4
Quintana atrizona,ACTINOPTERYGII,어류,CR,4
Mammillaria anniana,MAGNOLIOPSIDA,식물,CR,4
Opuntia chaffeyi,MAGNOLIOPSIDA,식물,CR,4
Alligator sinensis,REPTILIA,파충류,CR,4
Romanichthys valsanicola,ACTINOPTERYGII,어류,CR,4
Crocodylus rhombifer,REPTILIA,파충류,CR,4
Axis kuhlii,MAMMALIA,포유류,CR,4
Turbinicarpus gielsdorfianus,MAGNOLIOPSIDA,식물,CR,4
Hibiscus fragilis,MAGNOLIOPSIDA,식물,CR,4
Mammillaria sanchez-mejoradae,MAGNOLIOPSIDA,식물,CR,4
Pediocactus knowltonii,MAGNOLIOPSIDA,식물,CR,4
Heteromirafra archeri,AVES,조류,CR,4
Astrophytum caput-medusae,MAGNOLIOPSIDA,식물,CR,4
Ostrya rehderiana,MAGNOLIOPSIDA,식물,CR,4
Dendrolagus scottae,MAMMALIA,포유류,CR,4
Huso dauricus,ACTINOPTERYGII,어류,CR,4
Haageocereus pacalaensis,MAGNOLIOPSIDA,식물,CR,4
Wollemia nobilis,PINOPSIDA,식물,CR,4
Addax nasomaculatus,MAMMALIA,포유류,CR,4
Loxodonta cyclotis,MAMMALIA,포유류,CR,4
Petaurus abidi,MAMMALIA,포유류,CR,4
Aloe bellatula,LILIOPSIDA,식물,CR,4
Haplochromis vonlinnei,ACTINOPTERYGII,어류,CR,4
Hyophorbe amaricaulis,LILIOPSIDA,식물,CR,4
Spilocuscus rufoniger,MAMMALIA,포유류,CR,4
Hypselobarbus thomassi,ACTINOPTERYGII,어류,CR,4
Panthera tigris amoyensis,MAMMALIA,포유류,EN,3
Bos javanicus,MAMMALIA,포유류,CR,4
Ctenosaura oaxacana,REPTILIA,파충류,CR,4
Saguinus bicolor,MAMMALIA,포유류,CR,4
Aulonocara baenschi,ACTINOPTERYGII,어류,CR,4
Terenura sicki,AVES,조류,CR,4
Abies yuanbaoshanensis,PINOPSIDA,식물,CR,4
Eretmochelys imbricata,REPTILIA,파충류,CR,4
Lathyrus odoratus,MAGNOLIOPSIDA,식물,CR,4
Marmosops handleyi,MAMMALIA,포유류,CR,4
Uromys emmae,MAMMALIA,포유류,CR,4
Indri indri,MAMMALIA,포유류,CR,4
Bradypus pygmaeus,MAMMALIA,포유류,CR,4
Pithecophaga jefferyi,AVES,조류,CR,4
Spheniscus demersus,AVES,조류,CR,4
Rhinoplax vigil,AVES,조류,CR,4
Dendrolagus pulcherrimus,MAMMALIA,포유류,CR,4
Vipera darevskii,REPTILIA,파충류,CR,4
Hypancistrus zebra,ACTINOPTERYGII,어류,CR,4
Dryococelus australis,INSECTA,무척추,CR,4
Panthera tigris sumatrae,MAMMALIA,포유류,EN,3
Pipile pipile,AVES,조류,CR,4
Acropora palmata,ANTHOZOA,무척추,CR,4
Aegotheles savesi,AVES,조류,CR,4
Lepilemur septentrionalis,MAMMALIA,포유류,CR,4
Fraxinus pennsylvanica,MAGNOLIOPSIDA,식물,CR,4
Nilssonia nigricans,REPTILIA,파충류,CR,4
Erythrodiplax acantha,INSECTA,무척추,CR,4
Pilosocereus azulensis,MAGNOLIOPSIDA,식물,CR,4
Aloe babatiensis,LILIOPSIDA,식물,CR,4
Gymnogyps californianus,AVES,조류,CR,4
Mammillaria theresae,MAGNOLIOPSIDA,식물,CR,4
Galaxias tanycephalus,ACTINOPTERYGII,어류,CR,4
Clarias maclareni,ACTINOPTERYGII,어류,CR,4
Capensibufo rosei,AMPHIBIA,양서류,CR,4
Xenocypris yunnanensis,ACTINOPTERYGII,어류,CR,4
Gyps indicus,AVES,조류,CR,4
Haplochromis barbarae,ACTINOPTERYGII,어류,CR,4
Knipowitschia milleri,ACTINOPTERYGII,어류,CR,4
Haplochromis brownae,ACTINOPTERYGII,어류,CR,4
Garra phillipsi,ACTINOPTERYGII,어류,CR,4
Amastra micans,GASTROPODA,무척추,CR,4
Cyprinodon pachycephalus,ACTINOPTERYGII,어류,CR,4
Cyprinodon latifasciatus,ACTINOPTERYGII,어류,CR,4
Arthroleptides dutoiti,AMPHIBIA,양서류,CR,4
Campellolebias brucei,ACTINOPTERYGII,어류,CR,4
Batagur trivittata,REPTILIA,파충류,CR,4
Crenicichla cyclostoma,ACTINOPTERYGII,어류,CR,4
Batagur dhongoka,REPTILIA,파충류,CR,4
Amastra spirizona,GASTROPODA,무척추,CR,4
Ancylus ashangiensis,GASTROPODA,무척추,CR,4
Batagur kachuga,REPTILIA,파충류,CR,4
Colophon berrisfordi,INSECTA,무척추,CR,4
Hadramphus tuberculatus,INSECTA,무척추,CR,4
Aloe fimbrialis,LILIOPSIDA,식물,CR,4
Alasmidonta raveneliana,BIVALVIA,무척추,CR,4
Amastra rubens,GASTROPODA,무척추,CR,4
Chlamydogobius squamigenus,ACTINOPTERYGII,어류,CR,4
Armsia petasus,GASTROPODA,무척추,CR,4
Colophon montisatris,INSECTA,무척추,CR,4
Crocidura jenkinsi,MAMMALIA,포유류,CR,4
Cuora galbinifrons,REPTILIA,파충류,CR,4
Gorilla beringei,MAMMALIA,포유류,CR,4
Belgrandiella ganslmayri,GASTROPODA,무척추,CR,4
Haplochromis martini,ACTINOPTERYGII,어류,CR,4
Achatinella pulcherrima,GASTROPODA,무척추,CR,4
Amanipodagrion gilliesi,INSECTA,무척추,CR,4
Bulimulus reibischi,GASTROPODA,무척추,CR,4
Habromys lepturus,MAMMALIA,포유류,CR,4
Bulimulus ochsneri,GASTROPODA,무척추,CR,4
Litoria lorica,AMPHIBIA,양서류,CR,4
Chlamydogobius gloveri,ACTINOPTERYGII,어류,CR,4
Boninthemis insularis,INSECTA,무척추,CR,4
Alosa macedonica,ACTINOPTERYGII,어류,CR,4
Dipodomys gravipes,MAMMALIA,포유류,CR,4
Cyclura pinguis,REPTILIA,파충류,CR,4
Actinella obserata,GASTROPODA,무척추,CR,4
